"","X","ncbi_name","phylotree_tip_label","img_id","ncbi_acc","kegg_abb","trnadb_name","families","ecosystem","habitat"
"113",113,"Coprothermobacter proteolyticus DSM 5265","t643348530",643348530,"GCA_000020945.1","cpo","Coprothermobacter proteolyticus DSM 5265","Firmicutes","Host-associated",""
"114",114,"Thermosipho melanesiensis BI429","t640753057",640753057,"GCA_000016905.1","tme","Thermosipho melanesiensis BI429","Thermotogae","Host-associated","Aquatic, Host, Hot spring, Hydrothermal vent, Marine"
"115",115,"Thermosipho africanus TCF52B","t643348583",643348583,"GCA_000021285.1","taf","Thermosipho africanus TCF52B","Thermotogae","Engineered","Aquatic, Fresh water, Host, Marine"
"116",116,"Fervidobacterium nodosum Rt17-B1","t640753026",640753026,"GCA_000017545.1","fno","Fervidobacterium nodosum Rt17-B1","Thermotogae","Environmental","Aquatic, Fresh water, Hot spring"
"117",117,"Fervidobacterium pennivorans DSM 9078","t2507149014",2507149014,"GCA_000235405.3","fpe","Fervidobacterium pennivorans DSM 9078","Thermotogae","Environmental","Hot spring, Mud, Sediment"
"118",118,"Pseudothermotoga lettingae TMO","t641228511",641228511,"GCA_000017865.1","tle","Pseudothermotoga lettingae TMO","Thermotogae","Engineered","Fresh water"
"119",119,"Pseudothermotoga thermarum DSM 5069","t2503508007",2503508007,"GCA_000217815.1","tta","Pseudothermotoga thermarum DSM 5069","Thermotogae","Environmental","Aquatic"
"120",120,"Thermotoga neapolitana DSM 4359","t643348584",643348584,"GCA_000018945.1","tna","Thermotoga neapolitana DSM 4359","Thermotogae","Environmental","Fresh water"
"121",121,"Thermotoga sp. RQ2","t642487181",642487181,"GCA_000019625.1","trq","Thermotoga sp. RQ2","Thermotogae","Environmental","Fresh water"
"125",125,"Marinitoga piezophila KA3","t2508501120",2508501120,"GCA_000255135.1","mpz","Marinitoga piezophila KA3","Thermotogae","Environmental","Aquatic, Deep sea, Hot spring, Hydrothermal vent, Marine"
"126",126,"Petrotoga mobilis SJ95","t641228500",641228500,"GCA_000018605.1","pmo","Petrotoga mobilis SJ95","Thermotogae","Environmental","Aquatic, Marine, Oil fields"
"127",127,"Kosmotoga olearia TBF 19.5.1","t644736379",644736379,"GCA_000023325.1","kol","Kosmotoga olearia TBF 19.5.1","Thermotogae","Engineered","Aquatic, Fresh water, Marine"
